x_center,y_center,width,height,class
obstacle,210.4241,379.5570,94.1480,132.5049
obstacle,301.0181,238.3481,71.4873,116.6005
obstacle,390.6394,369.8573,84.2901,123.8661
finish,279.5795,432.5599,49.0090,91.0701
obstacle,353.3642,275.1150,76.0358,117.5965
robot,412.2075,172.2550,79.9426,95.0810
obstacle,254.8645,302.5593,82.4636,123.1585
obstacle,413.9838,291.6132,66.4069,92.6936
